run_id,ts,horizon,milp_obj,ml_obj,obj_delta,milp_grid_imp,ml_grid_imp,milp_grid_exp,ml_grid_exp
24392,2026-05-20 12:51:43.825876820+00:00,133,-3.9254469871520996,-2.716339111328125,1.2091078758239746,29575.54564,29887.629928,436.214085,580.93868
24390,2026-05-20 12:46:40.786271803+00:00,133,-3.7210986614227295,-2.5940701961517334,1.127028465270996,29250.5525,29488.28041,510.570535,580.93866
24391,2026-05-20 12:49:13.166364466+00:00,133,-3.755459785461426,-2.685249090194702,1.0702106952667236,29326.88385,29621.763978,453.41839,580.93866
24382,2026-05-20 12:26:42.607261571+00:00,135,-3.0019052028656006,-2.007885217666626,0.9940199851989746,28481.079192,28648.43933,575.48429,575.48428
24404,2026-05-20 13:21:43.893821422+00:00,131,-4.495503902435303,-3.5089235305786133,0.9865803718566895,30664.17341,31447.83118,2.8903532e-10,581.899194
24399,2026-05-20 13:09:15.060669234+00:00,132,-4.087899684906006,-3.1512255668640137,0.9366741180419922,30697.57665,30778.32912,563.2951,582.2263
24402,2026-05-20 13:16:42.736834420+00:00,131,-4.3626933097839355,-3.459117889404297,0.9035754203796387,30956.04591,31267.801708,354.55637,581.8992000000001
24393,2026-05-20 12:54:10.308251565+00:00,133,-3.486274480819702,-2.731659412384033,0.754615068435669,30015.878885,30015.878976,580.93866,580.93866
24398,2026-05-20 13:06:42.500830031+00:00,132,-3.7569594383239746,-3.114663600921631,0.6422958374023438,30787.305812,30787.305534,582.2263,582.2263
24376,2026-05-20 12:11:43.178250244+00:00,136,-2.3465096950531006,-1.7114355564117432,0.6350741386413574,28183.853382,28183.8535,571.3115,571.3115
24410,2026-05-20 13:36:41.539944946+00:00,130,-4.476581573486328,-3.899322271347046,0.5772593021392822,32122.768635,32288.973488,716.33896,882.543967
24409,2026-05-20 13:34:13.565309657+00:00,130,-4.431685924530029,-3.862934112548828,0.5687518119812012,31247.03532,32111.839828,0.0,882.543967
24408,2026-05-20 13:31:45.615801504+00:00,130,-4.36445951461792,-3.877460479736328,0.4869990348815918,31935.16834,32101.373348,716.3389,882.543967
12253,2026-04-30 14:41:04.758142318+00:00,96,-0.6816882491111755,-0.33825206756591797,0.34343618154525757,5919.64107,6551.01096,14458.26655,15123.29611
12254,2026-04-30 14:43:38.283635877+00:00,96,-0.253281831741333,-0.5862383246421814,-0.3329564929008484,6551.01096,5545.77776,15330.564035,14340.28959
12261,2026-04-30 15:01:04.474270931+00:00,96,0.14179018139839172,-0.18868091702461243,-0.33047109842300415,5886.92706,5217.1817,16778.714745,16201.46031
12245,2026-04-30 14:20:40.063880646+00:00,96,-1.5876826047897339,-1.2915384769439697,0.29614412784576416,5976.4465,6551.01096,12280.33613,12960.49924
11002,2026-04-28 14:09:07.748349999+00:00,96,0.6502254605293274,0.9386557936668396,0.2884303331375122,4652.061,1633.2275,20909.21985,17878.335264000005
12246,2026-04-30 14:23:12.665593089+00:00,96,-1.2480783462524414,-1.5094165802001953,-0.2613382339477539,6551.01096,6048.202074,13145.18547,12507.784239999999
24383,2026-05-20 12:29:09.406880206+00:00,135,-2.265190839767456,-2.032226324081421,0.23296451568603516,28633.557475999998,28709.3316174,775.1460999999999,575.48428
24405,2026-05-20 13:24:14.487111871+00:00,131,-3.7992100715637207,-3.5705008506774902,0.22870922088623047,31852.64036,31852.640298000002,882.523295,882.523295
24403,2026-05-20 13:19:12.306689927+00:00,131,-3.689385175704956,-3.4725451469421387,0.21684002876281738,31371.382451999998,31371.38219,581.89922,581.8992000000001
12258,2026-04-30 14:53:37.605892735+00:00,96,-0.14027027785778046,-0.34965088963508606,-0.2093806117773056,6440.87943,5886.92706,15794.77039,15498.137088
24401,2026-05-20 13:14:12.562119199+00:00,132,-3.3878281116485596,-3.2363927364349365,0.15143537521362305,31022.96349,31022.96325,582.2263,582.2263
24379,2026-05-20 12:19:09.851588430+00:00,135,-2.185870409011841,-2.050794839859009,0.13507556915283203,28460.791758,28460.791778,575.48428,575.48428
24386,2026-05-20 12:36:45.310531167+00:00,134,-2.4172654151916504,-2.2926082611083984,0.12465715408325195,29032.341927999998,29032.34182,577.38807,577.38807
11006,2026-04-28 14:19:06.882549113+00:00,96,0.8709366917610168,0.9933448433876038,0.12240815162658691,3096.214155,1365.81775,20423.5471,18672.16587
24395,2026-05-20 12:59:17.153003329+00:00,133,-2.9371540546417236,-2.8304054737091064,0.10674858093261719,30292.072859,30418.71834,580.93866,580.93866
